Cliente,Reels Contratado,ATÉ quantas Postagens por Semana?,Foto/Vídeo Julho,OBS foto e video,Ideia Conteúdo,Social Media,Foto e Vídeo,Status,Visita Ma,Ma,Feed e Conteúdo,"FERIADO BRUSQUE "
4S Estamparia Digital,6 Reels,5 por semana,11/09,,Não enviar,Cris,Julián,Ativa,12/08,,Criado,Programado!
AMO Imóveis,8 Reels,5 por semana,15/09,Prefere a tarde 13h15,,Cris,Julián,Ativa,,,Criado,Programado!
Averzzy,8 Reels,3 por semana,,prefere sexta,,Ananda,Felícia,Ativa,,,ok,Programado!
Babymee Moda Bebê,10 Reels,5 por semana,04/09,,,Cris,Felícia,Ativa,,,,Programado!
Carol Corretora,4 Reels,1 por semana,15/09,,,Ananda,Julián,Ativa,,,,
Cineroom Automações,6 Reels,3 por semana,24/09,Precisa ser de manhã,,Cris,Julián,Ativa,,,,NÃO FAZEMOS
Classe Móveis,12 Reels,5 por semana,22/09,,,Cris,Julián,Ativa,,,,Programado!
"CRF Construtora ",10 Reels,5 por semana,25/09,,,Cris,Julián,Ativa,,,,
"Dicasa ",8 Reels,5 por semana,não vamos,Quartas são ruins,,Cris,Julián,Ativa,,,,Programado!
Dra Ana Guaragni,6 Reels,,,,,Shelly,,Ativa,,,,
Dra Manuela Satake,Meia Diária,,04/09,,,,Felícia,Ativa,,,,NÃO FAZEMOS
En-dor Construtora,6 Reels,3 por semana,23/09,,,Cris,Julián,Ativa,,,,NÃO FAZEMOS
Estação KZA,6 Reels,3 por semana,,,,Ananda,Julián,Ativa,,,,Programado!
Eve Company,Full,Full,,,,Cris,,Ativa,,,,NÃO FAZEMOS
Juju Kids,6 Reels,5 por semana,14/09,prefere 08h30,,Ananda,Julián,Ativa,,,,Programado!
Krauller Private Label,6 Reels,3 por semana,10/09,,,Ananda,Julián,Ativa,,,,Programado!
LiderHar,6 Reels,sem postagem,,,,,,Ativa,,,,NÃO FAZEMOS
Marcotex Têxtil,4 Reels,3 por semana,,,,Ananda,Julián,Ativa,,,,Programado!
MH Tinturaria,6 Reels,3 por semana,17/09,melhor de manhã e sempre em 2,,Cris,Julián,Ativa,,,,NÃO FAZEMOS
Nacional Paineis,6 Reels,3 por semana,30/09,,,Cris,Julián,Ativa,,,,"Programado! "
Nuvilli Baby,6 Reels,5 por semana,01/09,,,Ananda,Julián,Ativa,,,,Programado!
Optima Empreendimentos,10 Reels,3 por semana,16/09,"Dia todo ",,Ananda,Julián,Ativa,,,,-
Parque Ropek,6 Reels,3 por semana,22/09,Prefere terça-feira,,Cris,Julián,Ativa,,,,-
Premium Machine,6 Reels,,11/09,,,Ananda,Julián,Ativa,,,,Programado!
Preti Malhas,6 Reels,2 por semana,15/09,,,Cris,Felícia,Ativa,,,,NÃO FAZEMOS
"Samara Ateliê ",6 Reels,,,,,Shelly,,Ativa,,,,
Shopping Gracher,8 Reels,3 por semana,03/09,,,Ananda,Julián,Ativa,,,,"Programado! "
Soficotton,E-commerce,Full,08/09,,,Ananda,Felícia,Ativa,,,,Programado!
Trestatti,4 Reels,3 por semana,,,,Ananda,Julián,Ativa,,,,Programado!
Vidah Cosméticos,8 Reels,5 por semana,09/09,,,Ananda,Julián,Ativa,,,,Programado!
