Cliente,ATÉ quantas Postagens por Semana?,"FERIADO BRUSQUE ",Feed e Conteúdo,Foto e Vídeo,Foto/Vídeo Julho,Ideia Conteúdo,Ma,OBS foto e video,Reels Contratado,Social Media,Status,Visita Ma
Meriele Cardeal,,,,,02/05,,,,6 Reels,,Cancelado,
Sintonia Musical,3 por semana,,,Felícia,Não fazer,,,,6 Reels,Cris,Cancelado,
4S Estamparia Digital,5 por semana,Programado!,Criado,Julián,11/09,Não enviar,,,6 Reels,Cris,Ativa,12/08
Apedeb - Basquete,,,,,-,,,,,Ananda,Cancelado,
Trestatti,3 por semana,Programado!,,Julián,,,,,4 Reels,Ananda,Ativa,
Soficotton,Full,Programado!,,Felícia,08/09,,,,E-commerce,Ananda,Ativa,
CR Quadros,3 por semana,,,,,,,,6 Reels,,Cancelado,
Juju Kids,5 por semana,Programado!,,Julián,14/09,,,prefere 08h30,6 Reels,Ananda,Ativa,
Preti Malhas,2 por semana,NÃO FAZEMOS,,Felícia,15/09,,,,6 Reels,Cris,Ativa,
Toninho Máquinas,5 por semana,,,Felícia,Não fazer,,,"Antes do dia 30 do mês. ",6 Reels,Cris,Cancelado,
AMO Imóveis,5 por semana,Programado!,Criado,Julián,15/09,,,Prefere a tarde 13h15,8 Reels,Cris,Ativa,
Vidah Cosméticos,5 por semana,Programado!,,Julián,09/09,,,,8 Reels,Ananda,Ativa,
Eve Company,Full,NÃO FAZEMOS,,,,,,,Full,Cris,Ativa,
En-dor Construtora,3 por semana,NÃO FAZEMOS,,Julián,23/09,,,,6 Reels,Cris,Ativa,
"Dicasa ",5 por semana,Programado!,,Julián,não vamos,,,Quartas são ruins,8 Reels,Cris,Ativa,
"Edna Andrade ",Full,,,,14/07,,,,E-commerce,,Cancelado,
Dr Juliano Becker,3 por semana,,-,,,,,,4 Reels,Ananda,Cancelado,
Wine Home BR,3 por semana,,,Julián,-,,,,6 Reels,,Cancelado,"NÃO PRECISA "
Estação KZA,3 por semana,Programado!,,Julián,,,,,6 Reels,Ananda,Ativa,
Morisa Móveis,3 por semana,,,Felícia,02/03,,,Prefere de manhã,6 Reels,Cris,Cancelado,
Santa Rosa,3 por semana,Não vamos fazer,,Julián,22/07,,,Marcar dps do dia 10,4 Reels,Ananda,Cancelado,19/05
Jouper Moda Íntima,3 por semana,,,,,,,,6 Reels,Ananda,Cancelado,
Marcotex Têxtil,3 por semana,Programado!,,Julián,,,,,4 Reels,Ananda,Ativa,
Classe Móveis,5 por semana,Programado!,,Julián,22/09,,,,12 Reels,Cris,Ativa,
Vera Consultoria,Apenas ADS,,continua normal,,,,,,Apenas ADS,,Cancelado,
TH Empreendimentos,5 por semana,,,Julián,,,,Fazer no meio do mês,8 Reels,Ananda,Cancelado,-
Black Dragon,Full,,,Julián,-,,,,E-commerce,Cris,Cancelado,"NÃO PRECISA "
Averzzy,3 por semana,Programado!,ok,Felícia,,,,prefere sexta,8 Reels,Ananda,Ativa,
"CRF Construtora ",5 por semana,,,Julián,25/09,,,,10 Reels,Cris,Ativa,
Nacional Paineis,3 por semana,"Programado! ",,Julián,30/09,,,,6 Reels,Cris,Ativa,
MH Tinturaria,3 por semana,NÃO FAZEMOS,,Julián,17/09,,,melhor de manhã e sempre em 2,6 Reels,Cris,Ativa,
Optima Empreendimentos,3 por semana,-,,Julián,16/09,,,"Dia todo ",10 Reels,Ananda,Ativa,
Shopping Gracher,3 por semana,"Programado! ",,Julián,03/09,,,,8 Reels,Ananda,Ativa,
Cineroom Automações,3 por semana,NÃO FAZEMOS,,Julián,24/09,,,Precisa ser de manhã,6 Reels,Cris,Ativa,
Premium Machine,,Programado!,,Julián,11/09,,,,6 Reels,Ananda,Ativa,
Krauller Private Label,3 por semana,Programado!,,Julián,10/09,,,,6 Reels,Ananda,Ativa,
Carol Corretora,1 por semana,,,Julián,15/09,,,,4 Reels,Ananda,Ativa,
LiderHar,sem postagem,NÃO FAZEMOS,,,,,,,6 Reels,,Ativa,
Nuvilli Baby,5 por semana,Programado!,,Julián,01/09,,,,6 Reels,Ananda,Ativa,
Babymee Moda Bebê,5 por semana,Programado!,,Felícia,04/09,,,,10 Reels,Cris,Ativa,
Parque Ropek,3 por semana,-,,Julián,22/09,,,Prefere terça-feira,6 Reels,Cris,Ativa,
Dra Manuela Satake,,NÃO FAZEMOS,,Felícia,04/09,,,,Meia Diária,,Ativa,
Dra Ana Guaragni,,,,,,,,,6 Reels,Shelly,Ativa,
"Samara Ateliê ",,,,,,,,,6 Reels,Shelly,Ativa,
